,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
86,2012-05-19 12:19:28,1337422768.0,kmb,78.83,13.1639391329,1324.800049,-7.85730467519,21.0212438081,123.18,18.27,1.47,5.78,8.12,13.93,9.27,31.68,53.54,36980000000.0,36980000000.0,14.25,1.89,1.76,9.25,1.76,6150000000.0,9.25,1710000000.0,4.31,33.70,4.20,873000000.0,2.23,6940000000.0,1.20,13.68,2620000000.0,0.18,0.23,69.00,8010000.0,3.10,2.00,6770000.0,outperform
87,2011-12-30 17:04:13,1325261053.0,kmb,73.68,5.77088716624,1257.599976,-12.5312144149,18.3021015812,133.44,17.60,1.41,5.62,8.11,14.08,9.33,31.27,51.97,35130000000.0,35130000000.0,14.04,2.68,1.69,8.90,1.69,6550000000.0,8.90,1680000000.0,4.19,7.90,8.10,1320000000.0,3.35,7290000000.0,1.12,13.17,2720000000.0,0.31,0.21,70.80,4690000.0,1.80,1.20,4960000.0,outperform
88,2011-10-17 05:46:56,1318823216.0,kmb,71.91,3.22997416021,1200.859985,-16.477602934,19.7075770942,127.78,16.97,1.38,5.04,8.45,12.70,8.24,32.54,50.40,34650000000.0,34650000000.0,13.62,2.01,1.70,9.83,1.70,6550000000.0,9.83,1720000000.0,4.24,18.10,8.30,1010000000.0,2.57,7480000000.0,1.09,14.17,34650000000.0,0.39,0.21,70.80,7460000.0,2.30,1.90,6750000.0,outperform
89,2013-04-22 02:54:10,1366592050.0,kmb,106.1,52.3112259546,1562.5,8.67523861709,43.6359873375,140.98,23.08,1.86,8.36,8.58,15.18,10.20,35.62,53.99,47040000000.0,47040000000.0,17.74,2.45,2.23,11.56,2.23,6750000000.0,11.56,1810000000.0,4.60,13.50,1.50,1110000000.0,2.86,7030000000.0,0.98,12.13,3310000000.0,0.04,0.25,68.80,6710000.0,2.90,1.70,8270000.0,outperform
90,2004-09-07 03:17:32,1094519852.0,kmb,68.13,-2.19638242894,1121.300049,-22.0111677527,19.8147853237,0.484,19.21,2.23,4.91,11.70,16.89,10.52,26.88,29.498,33690000000.0,36600000000.0,17.25,2.07,2.45,11.08,2.45,4900000000.0,11.08,1790000000.0,3.546,1.20,5.80,362300000.0,0.73,3280000000.0,1.252,13.676,2750000000.0,0.235,0.43,75.00,2410000.0,1.827,0.49,2430000.0,outperform
91,2013-05-11 12:30:21,1368268221.0,kmb,103.43,48.4783232845,1632.689941,13.5571001126,34.9212231719,140.98,22.50,1.87,8.43,8.58,15.68,10.54,35.62,54.02,45700000000.0,45700000000.0,16.90,2.17,2.16,10.95,2.16,6750000000.0,10.95,1810000000.0,4.60,13.50,1.50,1110000000.0,2.88,7030000000.0,0.98,12.22,3310000000.0,0.05,0.25,68.80,7900000.0,3.30,2.00,8050000.0,outperform
92,2005-03-06 08:14:48,1110093288.0,etr,71.2,0.0,1210.469971,0.0,0.0,0.88,23.00,1.59,1.78,7.59,15.15,2.59,8.20,42.272,15920000000.0,23730000000.0,14.02,2.49,2.42,10.05,2.42,5350000000.0,10.05,720960000.0,3.10,52.50,10.70,587840000.0,2.63,8070000000.0,1.288,39.249001,2540000000.0,0.017,0.02,75.18,4130000.0,4.163,1.85,3720000.0,underperform
93,2012-11-12 05:53:54,1352696034.0,etr,64.9,-8.84831460674,1380.030029,14.0077872283,-22.856101835,136.54,16.34,1.12,1.26,6.80,16.18,2.58,7.52,58.53,24030000000.0,24030000000.0,12.65,5.06,2.32,7.40,2.32,4050000000.0,7.40,704540000.0,3.97,46.30,12.70,749720000.0,4.22,12930000000.0,0.97,51.73,3220000000.0,0.34,0.37,81.90,3690000.0,5.20,2.10,3420000.0,underperform
94,2004-12-04 17:43:23,1102178603.0,etr,64.95,-8.77808988764,1191.369995,-1.57789754869,-7.20019233895,0.88,20.99,1.46,1.63,7.59,15.15,2.59,8.20,42.269,14520000000.0,22340000000.0,13.85,3.42,2.28,9.46,2.28,5350000000.0,9.46,720960000.0,3.095,52.50,10.70,587840000.0,2.63,8070000000.0,1.288,39.249001,2540000000.0,0.048,0.02,78.97,4330000.0,3.445,1.94,4560000.0,underperform
95,2013-04-25 05:07:29,1366859249.0,iff,76.83,60.9005235602,1585.160034,9.4428998808,51.4576236794,82.33,24.86,2.23,5.04,9.01,17.31,9.82,21.54,34.79,6820000000.0,6820000000.0,15.84,2.22,2.42,12.08,2.42,1180000000.0,12.08,252530000.0,3.09,179.20,5.60,324750000.0,3.99,1030000000.0,2.53,15.30,323800000.0,0.76,1.73,80.00,699550.0,2.10,0.90,669280.0,outperform
